Date,Open,High,Low,Close,Adj Close,Volume
2022-03-28,37.919998,37.939999,36.740002,37.000000,36.545021,7384500
2022-03-29,36.200001,36.720001,35.169998,36.669998,36.219078,13403000
2022-03-30,37.310001,37.560001,36.610001,37.349998,36.890717,9134100
2022-03-31,37.049999,37.770000,36.099998,36.410000,35.962276,11010200
2022-04-01,36.700001,37.200001,36.110001,36.419998,35.972153,8558800
2022-04-04,36.689999,36.790001,35.799999,36.430000,35.982029,8290000
2022-04-05,36.400002,37.299999,35.340000,35.520000,35.083221,12705300
2022-04-06,35.880001,36.389999,35.290001,35.720001,35.280762,8523600
2022-04-07,35.680000,36.220001,35.080002,36.119999,35.675838,9536200
2022-04-08,36.310001,37.599998,36.279999,37.520000,37.058628,12765800
2022-04-11,36.720001,37.180000,36.400002,36.470001,36.021538,7655500
2022-04-12,36.529999,37.169998,36.049999,36.320000,35.873383,8028100
2022-04-13,36.869999,37.320000,36.060001,37.220001,36.762314,6849800
2022-04-14,36.820000,37.639999,36.770000,37.290001,36.831455,6853500
2022-04-18,37.599998,37.910000,37.169998,37.430000,36.969730,10120500
2022-04-19,37.139999,37.650002,36.509998,36.740002,36.288219,10264000
2022-04-20,35.970001,36.369999,32.799999,35.330002,34.895557,23404100
2022-04-21,35.549999,35.650002,32.279999,32.910000,32.505314,19153700
2022-04-22,32.599998,34.020000,32.020000,32.200001,31.804045,12918100
2022-04-25,30.980000,31.309999,29.459999,30.740000,30.361998,16705400
2022-04-26,31.120001,32.630001,31.020000,31.350000,30.964497,17393700
2022-04-27,31.459999,31.950001,30.870001,31.280001,30.895357,9187900
2022-04-28,31.500000,32.400002,30.860001,31.969999,31.576872,11759100
2022-04-29,32.020000,32.220001,30.820000,31.020000,30.638556,13335200
2022-05-02,30.740000,31.360001,30.240000,30.910000,30.529909,8737800
2022-05-03,30.730000,31.700001,30.600000,31.500000,31.112654,9766500
2022-05-04,32.189999,32.959999,31.080000,32.840000,32.436176,11857600
2022-05-05,32.919998,33.110001,31.219999,32.020000,31.626259,9915500
2022-05-06,32.230000,32.560001,31.570000,32.130001,31.734907,6917500
2022-05-09,31.650000,31.650000,29.969999,30.049999,29.680481,13366300
2022-05-10,30.360001,31.480000,30.090000,30.820000,30.441015,8439300
2022-05-11,31.520000,32.779999,31.250000,32.490002,32.090481,13027700
2022-05-12,32.130001,32.419998,30.879999,31.910000,31.517611,12987100
2022-05-13,32.439999,34.200001,32.360001,34.110001,33.690559,9974900
2022-05-16,33.869999,35.029999,33.810001,34.930000,34.500477,8788800
2022-05-17,35.570000,35.750000,34.900002,35.160000,34.727646,9523700
2022-05-18,35.439999,35.720001,34.070000,34.639999,34.214043,7188600
2022-05-19,33.900002,35.570000,33.779999,34.970001,34.539986,7785600
2022-05-20,35.320000,35.570000,33.959999,34.549999,34.125145,9027700
2022-05-23,35.000000,36.000000,34.759998,35.709999,35.270882,9358500
2022-05-24,35.209999,36.419998,35.099998,36.279999,35.833874,7961500
2022-05-25,36.360001,36.570000,35.349998,35.720001,35.280762,9187800
2022-05-26,36.330002,37.360001,36.279999,37.099998,36.643791,6687000
2022-05-27,36.529999,37.450001,36.529999,37.180000,36.901848,7577800
2022-05-31,37.389999,37.959999,35.619999,35.980000,35.710823,21917500
2022-06-01,36.529999,37.799999,36.529999,37.410000,37.130127,8349800
2022-06-02,37.400002,37.480000,36.709999,36.910000,36.633865,7678600
2022-06-03,36.669998,37.990002,36.549999,37.820000,37.537056,5939500
2022-06-06,38.000000,38.189999,37.529999,37.680000,37.398106,6681900
2022-06-07,37.439999,37.930000,37.250000,37.660000,37.378254,6771800
2022-06-08,37.880001,38.660000,37.410000,37.490002,37.209530,7251700
2022-06-09,37.049999,37.259998,36.029999,36.080002,35.810078,8662800
2022-06-10,35.500000,36.160000,34.790001,35.230000,34.966434,9472000
2022-06-13,34.320000,34.389999,32.849998,33.299999,33.050873,13025700
2022-06-14,34.240002,34.500000,32.520000,32.930000,32.683643,9909100
2022-06-15,33.189999,33.189999,31.299999,31.740000,31.502544,13069200
2022-06-16,30.820000,31.370001,29.830000,29.889999,29.666384,14673200
2022-06-17,29.930000,30.200001,28.850000,29.969999,29.745785,28201900
2022-06-21,30.520000,31.219999,30.209999,30.480000,30.251970,10414000
2022-06-22,28.930000,29.910000,28.730000,29.520000,29.299152,11023900
2022-06-23,29.580000,29.799999,28.080000,28.660000,28.445587,11185300
2022-06-24,28.760000,29.280001,28.379999,28.469999,28.257008,18456700
2022-06-27,29.180000,29.650000,28.799999,29.440001,29.219751,6675400
2022-06-28,30.000000,30.459999,29.580000,30.070000,29.845037,6503700
2022-06-29,30.230000,30.530001,29.250000,29.629999,29.408329,8727700
2022-06-30,29.180000,30.280001,28.680000,28.870001,28.654016,8592500
2022-07-01,29.110001,29.420000,28.020000,29.090000,28.872370,5441400
2022-07-05,28.090000,28.790001,27.340000,28.200001,27.989029,10379000
2022-07-06,27.799999,28.719999,26.840000,27.500000,27.294266,8647100
2022-07-07,28.420000,29.139999,28.299999,28.469999,28.257008,6656400
2022-07-08,28.900000,28.990000,28.120001,28.469999,28.257008,5640500
2022-07-11,27.889999,28.450001,27.809999,28.200001,27.989029,5347700
2022-07-12,27.360001,27.670000,26.950001,27.490000,27.284340,7188400
2022-07-13,27.040001,27.540001,26.629999,26.760000,26.559801,8540600
2022-07-14,25.740000,26.420000,25.600000,26.340000,26.142942,6392000
2022-07-15,26.639999,26.879999,26.020000,26.680000,26.480400,7010400
2022-07-18,27.490000,27.590000,27.030001,27.160000,26.956808,6237500
2022-07-19,27.209999,28.309999,26.870001,28.219999,28.008877,8769100
2022-07-20,25.420000,26.330000,24.370001,25.889999,25.696310,29797900
2022-07-21,25.180000,25.230000,23.930000,24.920000,24.733566,17634100
2022-07-22,25.049999,25.510000,23.900000,24.080000,23.899851,10269700
2022-07-25,24.420000,24.520000,23.910000,24.400000,24.217457,8569600
2022-07-26,24.799999,24.910000,24.129999,24.299999,24.118204,12965200
2022-07-27,24.480000,25.139999,23.910000,25.059999,24.872519,11933400
2022-07-28,25.250000,25.480000,24.250000,24.980000,24.793118,6618100
2022-07-29,25.400000,25.740000,24.860001,25.690001,25.497807,12847400
2022-08-01,25.510000,25.510000,24.610001,24.660000,24.475512,10625100
2022-08-02,24.709999,25.639999,24.700001,25.420000,25.229826,6529400
2022-08-03,25.780001,26.170000,25.100000,25.230000,25.041246,8617400
2022-08-04,25.180000,25.299999,23.660000,23.709999,23.532618,13526200
2022-08-05,23.540001,24.320000,23.469999,24.059999,23.879999,6764800
2022-08-08,23.930000,24.379999,23.770000,24.270000,24.270000,7643900
2022-08-09,24.610001,24.750000,23.719999,23.850000,23.850000,7346100
2022-08-10,23.969999,24.510000,23.610001,24.350000,24.350000,7516800
2022-08-11,24.670000,25.580000,24.670000,25.280001,25.280001,7721500
2022-08-12,25.129999,26.049999,24.969999,26.010000,26.010000,6855600
2022-08-15,24.790001,25.320000,24.719999,25.299999,25.299999,5749400
2022-08-16,25.510000,25.850000,24.730000,25.059999,25.059999,10857200
2022-08-17,24.830000,25.190001,24.490000,24.750000,24.750000,11387600
2022-08-18,25.260000,25.600000,24.900000,24.990000,24.990000,10401100
2022-08-19,24.930000,25.320000,24.639999,25.160000,25.160000,8615700
2022-08-22,25.000000,25.590000,24.620001,25.270000,25.270000,8429900
2022-08-23,25.680000,26.690001,25.670000,26.100000,26.100000,8780400
2022-08-24,25.930000,26.610001,25.910000,26.469999,26.469999,6576900
2022-08-25,26.600000,26.850000,26.219999,26.650000,26.650000,6798700
2022-08-26,26.770000,26.959999,25.790001,26.129999,26.129999,7216800
2022-08-29,26.049999,26.450001,25.850000,26.230000,26.230000,9403100
2022-08-30,25.690001,25.719999,24.799999,25.049999,25.049999,7639300
2022-08-31,24.500000,25.500000,24.320000,25.260000,25.260000,13351700
2022-09-01,24.889999,25.040001,24.350000,24.600000,24.600000,8670400
2022-09-02,25.299999,25.680000,24.930000,25.280001,25.280001,6103100
2022-09-06,25.299999,25.559999,24.719999,24.889999,24.889999,11101600
2022-09-07,24.320000,24.410000,23.870001,24.350000,24.350000,12209000
2022-09-08,24.400000,24.469999,23.790001,23.889999,23.889999,11737200
2022-09-09,24.480000,25.370001,24.370001,25.250000,25.250000,8810900
2022-09-12,25.730000,25.799999,25.280001,25.459999,25.459999,9306300
2022-09-13,25.209999,26.090000,24.400000,24.540001,24.540001,10450600
2022-09-14,24.889999,25.770000,24.719999,25.389999,25.389999,8974700
2022-09-15,24.830000,25.030001,24.219999,24.330000,24.330000,10941400
2022-09-16,23.870001,24.070000,23.459999,23.799999,23.799999,35834200
2022-09-19,23.250000,24.240000,23.030001,24.180000,24.180000,12383700
2022-09-20,24.120001,24.120001,22.730000,23.000000,23.000000,9078600
2022-09-21,23.450001,23.600000,22.870001,23.020000,23.020000,8826100
2022-09-22,23.450001,23.770000,22.950001,22.969999,22.969999,7187100
2022-09-23,21.930000,22.080000,21.270000,21.730000,21.730000,13033000
2022-09-26,21.379999,21.530001,20.420000,20.450001,20.450001,14415400
