Date,Open,High,Low,Close,Adj Close,Volume
2022-03-28,154.000000,154.020004,147.669998,151.009995,151.009995,131600
2022-03-29,147.199997,161.990005,145.369995,161.720001,161.720001,169500
2022-03-30,163.000000,169.000000,159.369995,159.880005,159.880005,205800
2022-03-31,155.960007,164.500000,152.500000,152.720001,152.720001,175100
2022-04-01,153.929993,163.289993,153.929993,163.279999,163.279999,205400
2022-04-04,164.630005,168.949997,160.309998,165.199997,165.199997,152200
2022-04-05,165.020004,167.000000,157.259995,158.270004,158.270004,145600
2022-04-06,161.000000,163.139999,156.130005,158.279999,158.279999,150200
2022-04-07,159.970001,160.000000,151.470001,156.559998,156.559998,170700
2022-04-08,157.119995,164.039993,157.000000,162.889999,162.889999,120800
2022-04-11,159.270004,162.419998,156.720001,158.970001,158.970001,137000
2022-04-12,165.000000,176.850006,164.190002,170.529999,170.529999,235600
2022-04-13,173.789993,183.220001,171.110001,183.130005,183.130005,199800
2022-04-14,182.229996,195.880005,180.389999,195.190002,195.190002,226900
2022-04-18,198.210007,207.669998,195.300003,200.020004,200.020004,235200
2022-04-19,199.009995,201.600006,190.000000,193.669998,193.669998,177500
2022-04-20,195.309998,196.970001,185.279999,190.639999,190.639999,163600
2022-04-21,193.399994,193.399994,176.509995,178.100006,178.100006,175600
2022-04-22,176.160004,181.779999,169.669998,170.740005,170.740005,160700
2022-04-25,165.779999,165.779999,152.210007,160.669998,160.669998,225500
2022-04-26,160.399994,164.710007,155.350006,155.929993,155.929993,134400
2022-04-27,156.990005,163.309998,151.309998,159.270004,159.270004,118700
2022-04-28,158.800003,162.210007,146.809998,158.190002,158.190002,189400
2022-04-29,158.990005,161.279999,151.080002,154.619995,154.619995,192900
2022-05-02,152.419998,154.149994,143.330002,147.389999,147.389999,317700
2022-05-03,148.039993,158.679993,147.210007,155.729996,155.729996,140400
2022-05-04,159.089996,165.429993,154.300003,164.449997,164.449997,137800
2022-05-05,164.119995,166.250000,148.889999,153.580002,153.580002,299900
2022-05-06,157.860001,157.860001,148.850006,152.389999,152.389999,192800
2022-05-09,148.610001,148.610001,122.500000,124.129997,124.129997,376300
2022-05-10,127.650002,130.419998,118.519997,124.879997,124.879997,327600
2022-05-11,128.940002,137.800003,125.169998,125.940002,125.940002,234600
2022-05-12,124.690002,128.309998,119.220001,126.330002,126.330002,176700
2022-05-13,128.339996,137.389999,128.339996,133.190002,133.190002,169800
2022-05-16,134.210007,141.869995,133.860001,139.029999,139.029999,233700
2022-05-17,142.979996,144.880005,140.750000,142.100006,142.100006,110500
2022-05-18,144.690002,145.320007,131.929993,134.059998,134.059998,177800
2022-05-19,131.020004,138.270004,129.869995,134.669998,134.669998,125700
2022-05-20,136.220001,138.789993,131.000000,133.529999,133.529999,113200
2022-05-23,137.130005,147.960007,134.479996,147.770004,147.770004,144900
2022-05-24,144.800003,150.380005,143.039993,148.779999,148.779999,139700
2022-05-25,149.940002,158.589996,149.940002,156.080002,156.080002,119900
2022-05-26,160.020004,166.259995,159.389999,163.600006,163.600006,137400
2022-05-27,163.050003,167.630005,162.250000,167.580002,167.580002,149400
2022-05-31,174.610001,183.039993,162.440002,166.770004,166.770004,279800
2022-06-01,170.000000,175.729996,166.779999,173.789993,173.789993,261800
2022-06-02,171.479996,182.399994,171.479996,175.289993,175.289993,202700
2022-06-03,174.919998,180.770004,168.860001,180.330002,180.330002,97900
2022-06-06,183.190002,186.830002,176.979996,186.500000,186.500000,166900
2022-06-07,186.669998,193.789993,184.960007,190.139999,190.139999,173600
2022-06-08,190.649994,193.880005,181.320007,186.789993,186.789993,237700
2022-06-09,183.899994,186.880005,179.009995,181.009995,181.009995,109800
2022-06-10,176.419998,182.470001,165.350006,173.949997,173.949997,210700
2022-06-13,164.100006,164.229996,154.020004,158.429993,158.429993,173700
2022-06-14,162.600006,162.600006,150.850006,153.380005,153.380005,132200
2022-06-15,154.580002,158.669998,149.020004,151.949997,151.949997,144300
2022-06-16,148.770004,149.759995,139.289993,140.679993,140.679993,229900
2022-06-17,140.669998,144.789993,128.449997,132.850006,132.850006,656600
2022-06-21,136.259995,147.720001,136.259995,141.369995,141.369995,243500
2022-06-22,133.000000,134.649994,126.120003,130.929993,130.929993,199200
2022-06-23,132.130005,132.130005,117.930000,120.989998,120.989998,252300
2022-06-24,123.260002,136.919998,123.260002,134.279999,134.279999,556600
2022-06-27,136.770004,141.809998,133.470001,140.190002,140.190002,185700
2022-06-28,144.149994,147.020004,139.600006,142.380005,142.380005,153000
2022-06-29,146.770004,146.770004,138.289993,140.750000,140.750000,107700
2022-06-30,135.940002,138.600006,131.770004,133.899994,133.899994,209600
2022-07-01,133.789993,136.160004,123.900002,130.949997,130.949997,186800
2022-07-05,124.669998,126.269997,112.000000,114.910004,114.910004,269300
2022-07-06,113.360001,115.300003,104.919998,110.349998,110.349998,215700
2022-07-07,115.550003,118.529999,113.540001,115.110001,115.110001,181100
2022-07-08,117.559998,119.599998,112.019997,116.769997,116.769997,148400
2022-07-11,113.870003,115.019997,110.129997,114.330002,114.330002,121200
2022-07-12,109.690002,112.739998,106.000000,108.599998,108.599998,159600
